case_id,group,trial,implementation,reference,runner,device,operator,precision,direction,normalization,placement,output_order,logN,N,batch,modulus,modulus_bits,warmup,repeat,backend,kernel_ms,throughput_s,correct
fwht15_searched_b256,fwht15-batch256,2,cuButterfly-searched-warp-register,0,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,temporal-tile,0.114115,2243359.651746,1
fwht15_base_b512,fwht15-batch512,2,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,hierarchical,1.380557,370864.850984,1
ntt16_base_b4,ntt16-batch4,3,cuNTT-base-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,4,576460756061519873,60,1000,100,hybrid2d,0.031498,126991.228639,1
fwht15_searched_b512,fwht15-batch512,5,cuButterfly-searched-warp-register,0,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,temporal-tile,0.193065,2651957.173807,1
fft8_base_b16384,fft8-batch16384,3,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,8,256,16384,,,1000,100,temporal-tile,0.111852,146479903.692780,1
fft8_baseline_b16384,fft8-batch16384,3,cuFFT,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,8,256,16384,,,1000,100,cufft,0.083814,195479524.296586,1
fft18_base_b16,fft18-batch16,5,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,18,262144,16,,,1000,100,online-reorder,0.510269,31355.985469,1
fft14_searched_b256,fft14-batch256,1,cuButterfly-searched-cuFFTDx-direct,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,14,16384,256,,,1000,100,temporal-tile,0.120740,2120261.216690,1
fft20_base_b4,fft20-batch4,3,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,20,1048576,4,,,1000,100,online-reorder,0.766546,5218.212937,1
fwht15_base_b256,fwht15-batch256,3,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,hierarchical,0.703754,363763.346892,1
fwht15_baseline_b256,fwht15-batch256,1,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.115671,2213172.739556,1
fwht8_searched_b65536,fwht8-batch65536,3,cuButterfly-searched-warp-register,0,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,temporal-tile,0.164342,398778769.807163,1
fwht15_searched_b512,fwht15-batch512,1,cuButterfly-searched-warp-register,0,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,temporal-tile,0.193034,2652379.093937,1
fwht15_baseline_b256,fwht15-batch256,2,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.116132,2204391.151869,1
fft20_base_b4,fft20-batch4,2,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,20,1048576,4,,,1000,100,online-reorder,0.767621,5210.903777,1
fft18_base_b16,fft18-batch16,4,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,18,262144,16,,,1000,100,online-reorder,0.510525,31340.258413,1
fft18_searched_b16,fft18-batch16,2,cuButterfly-searched-auto,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,18,262144,16,,,1000,100,online-reorder,0.195441,81866.291486,1
fwht15_base_b256,fwht15-batch256,1,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,hierarchical,0.699310,366075.097533,1
fwht15_searched_b256,fwht15-batch256,1,cuButterfly-searched-warp-register,0,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,temporal-tile,0.106885,2395094.839647,1
ntt16_base_b256,ntt16-batch256,1,cuNTT-base-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,256,576460756061519873,60,1000,100,hybrid2d,1.161329,220437.164665,1
fwht15_base_b512,fwht15-batch512,5,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,hierarchical,1.380260,370944.639179,1
fft20_baseline_b4,fft20-batch4,2,cuFFT,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,20,1048576,4,,,1000,100,cufft,0.210760,18978.961800,1
ntt16_searched_b256,ntt16-batch256,2,cuNTT-searched-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,256,576460756061519873,60,1000,100,hybrid2d,1.058499,241852.019224,1
fft8_baseline_b16384,fft8-batch16384,4,cuFFT,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,8,256,16384,,,1000,100,cufft,0.083814,195479524.296586,1
fwht15_base_b512,fwht15-batch512,1,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,hierarchical,1.380014,371010.712228,1
ntt16_searched_b4,ntt16-batch4,2,cuNTT-searched-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,4,576460756061519873,60,1000,100,hybrid2d,0.029450,135822.324452,1
fwht15_baseline_b256,fwht15-batch256,3,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.116316,2200898.034728,1
ntt16_base_b64,ntt16-batch64,3,cuNTT-base-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,64,576460756061519873,60,1000,100,hybrid2d,0.299940,213376.121624,1
fwht8_searched_b65536,fwht8-batch65536,4,cuButterfly-searched-warp-register,0,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,temporal-tile,0.164362,398729058.773112,1
