group,implementation,reference,runner,operator,precision,direction,normalization,placement,output_order,logN,N,batch,modulus,modulus_bits,warmup,repeat,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,relative_range,central_relative_range,stability_class,timing_quality,correct,throughput_vs_reference
fft14-batch256,cuButterfly-base-radix2,1,butterfly,fft,fp32,forward,none,in-place,natural,14,16384,256,,,1000,100,5,0.719780,0.719606,0.720138,0.000739,0.000142,stable,stable,1,1.000000
fft14-batch256,cuButterfly-searched-cuFFTDx-direct,0,butterfly,fft,fp32,forward,none,in-place,natural,14,16384,256,,,1000,100,5,0.120996,0.120566,0.121262,0.005752,0.003810,stable,stable,1,5.948792
fft14-batch256,cuFFT,0,butterfly,fft,fp32,forward,none,in-place,natural,14,16384,256,,,1000,100,5,0.121754,0.121375,0.122849,0.012106,0.006135,stable,stable,1,5.911756
fft18-batch16,cuButterfly-base-radix2,1,butterfly,fft,fp32,forward,none,in-place,natural,18,262144,16,,,1000,100,5,0.510269,0.510188,0.512451,0.004435,0.000541,stable,stable,1,1.000000
fft18-batch16,cuButterfly-searched-auto,0,butterfly,fft,fp32,forward,none,in-place,natural,18,262144,16,,,1000,100,5,0.195635,0.195441,0.196291,0.004345,0.001360,stable,stable,1,2.608271
fft18-batch16,cuFFT,0,butterfly,fft,fp32,forward,none,in-place,natural,18,262144,16,,,1000,100,5,0.211630,0.211098,0.211692,0.002807,0.001110,stable,stable,1,2.411137
fft20-batch4,cuButterfly-base-radix2,1,butterfly,fft,fp32,forward,none,in-place,natural,20,1048576,4,,,1000,100,5,0.767959,0.766546,0.770079,0.004601,0.000960,stable,stable,1,1.000000
fft20-batch4,cuButterfly-searched-auto,0,butterfly,fft,fp32,forward,none,in-place,natural,20,1048576,4,,,1000,100,5,0.214589,0.214108,0.215081,0.004534,0.003579,stable,stable,1,3.578744
fft20-batch4,cuFFT,0,butterfly,fft,fp32,forward,none,in-place,natural,20,1048576,4,,,1000,100,5,0.210309,0.210012,0.210760,0.003557,0.001122,stable,stable,1,3.651575
fft8-batch16384,cuButterfly-base-radix2,1,butterfly,fft,fp32,forward,none,in-place,natural,8,256,16384,,,1000,100,5,0.112087,0.111821,0.116081,0.038006,0.004202,stable-with-outlier,stable-with-outlier,1,1.000000
fft8-batch16384,cuButterfly-searched-cuFFTDx,0,butterfly,fft,fp32,forward,none,in-place,natural,8,256,16384,,,1000,100,5,0.084316,0.084265,0.084347,0.000973,0.000119,stable,stable,1,1.329368
fft8-batch16384,cuFFT,0,butterfly,fft,fp32,forward,none,in-place,natural,8,256,16384,,,1000,100,5,0.083814,0.083712,0.083917,0.002446,0.000119,stable,stable,1,1.337330
fwht15-batch256,Dao-AILab-FHT,0,dao-fht,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,5,0.116132,0.115671,0.116572,0.007758,0.001851,stable,stable,1,6.021682
fwht15-batch256,cuButterfly-base-radix2,1,butterfly,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,5,0.699310,0.699249,0.703754,0.006442,0.000073,stable,stable,1,1.000000
fwht15-batch256,cuButterfly-searched-warp-register,0,butterfly,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,5,0.106998,0.106885,0.114115,0.067571,0.004402,stable-with-outlier,stable-with-outlier,1,6.535730
fwht15-batch512,Dao-AILab-FHT,0,dao-fht,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,5,0.207749,0.207534,0.208210,0.003254,0.002315,stable,stable,1,6.642699
fwht15-batch512,cuButterfly-base-radix2,1,butterfly,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,5,1.380014,1.379942,1.380557,0.000446,0.000208,stable,stable,1,1.000000
fwht15-batch512,cuButterfly-searched-warp-register,0,butterfly,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,5,0.193034,0.192922,0.193475,0.002865,0.000477,stable,stable,1,7.149072
fwht8-batch65536,Dao-AILab-FHT,0,dao-fht,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,5,0.164700,0.164526,0.165059,0.003236,0.000808,stable,stable,1,1.142319
fwht8-batch65536,cuButterfly-base-radix2,1,butterfly,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,5,0.188140,0.187924,0.188252,0.001743,0.000436,stable,stable,1,1.000000
fwht8-batch65536,cuButterfly-searched-warp-register,0,butterfly,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,5,0.164321,0.164270,0.164362,0.000560,0.000250,stable,stable,1,1.144954
ntt16-batch256,cuNTT-base-radix2,1,ntt,ntt,uint64,forward,none,out-of-place,natural,16,65536,256,576460756061519873,60,1000,100,5,1.163039,1.161329,1.163397,0.001778,0.000097,stable,stable,1,1.000000
ntt16-batch256,cuNTT-searched-radix4,0,ntt,ntt,uint64,forward,none,out-of-place,natural,16,65536,256,576460756061519873,60,1000,100,5,1.058611,1.053655,1.058888,0.004943,0.000251,stable,stable,1,1.098646
ntt16-batch4,cuNTT-base-radix2,1,ntt,ntt,uint64,forward,none,out-of-place,natural,16,65536,4,576460756061519873,60,1000,100,5,0.031529,0.031478,0.031549,0.002252,0.001618,stable,stable,1,1.000000
ntt16-batch4,cuNTT-searched-radix4,0,ntt,ntt,uint64,forward,none,out-of-place,natural,16,65536,4,576460756061519873,60,1000,100,5,0.029420,0.029307,0.029450,0.004861,0.001734,stable,stable,1,1.071686
