group,operator,precision,logN,N,batch,output_order,library,library_ms,base,base_ms,searched,searched_ms,searched_speedup_vs_base,searched_throughput_vs_library,searched_class_vs_library,library_stability,base_stability,searched_stability,library_evidence_source
fft8-batch16384,fft,fp32,8,256,16384,natural,cuFFT,0.083794,cuButterfly-base-radix2,0.112138,cuButterfly-searched-cuFFTDx,0.084306,1.3301307143026593,0.9939268853936848,parity,stable,stable-with-outlier,stable,current-randomized-full-protocol
fft14-batch256,fft,fp32,14,16384,256,natural,cuFFT,0.124426,cuButterfly-base-radix2,0.722483,cuButterfly-searched-cuFFTDx-direct,0.122358,5.904664999427909,1.016901224276304,parity,stable,stable,stable,current-randomized-full-protocol
fft18-batch16,fft,fp32,18,262144,16,natural,cuFFT,0.213156,cuButterfly-base-radix2,0.510863,cuButterfly-searched-auto,0.196731,2.596759026284622,1.083489638135322,faster,stable,stable,stable,current-randomized-full-protocol
fft20-batch4,fft,fp32,20,1048576,4,natural,cuFFT,0.213975,cuButterfly-base-radix2,0.768051,cuButterfly-searched-auto,0.217283,3.5347956351854495,0.9847756152114984,parity,stable,stable,stable,current-randomized-full-protocol
fwht8-batch65536,fwht,fp32,8,256,65536,natural,Dao-AILab-FHT,0.165396,cuButterfly-base-radix2,0.187965,cuButterfly-searched-warp-register,0.165151,1.138140247409946,1.0014834908659347,parity,stable,stable,stable,current-randomized-full-protocol
fwht15-batch256,fwht,fp32,15,32768,256,natural,Dao-AILab-FHT,0.117432,cuButterfly-base-radix2,0.703703,cuButterfly-searched-warp-register,0.108636,6.477622519238558,1.080967635038109,faster,stable,stable,stable-with-outlier,current-randomized-full-protocol
fwht15-batch512,fwht,fp32,15,32768,512,natural,Dao-AILab-FHT,0.210289,cuButterfly-base-radix2,1.387151,cuButterfly-searched-warp-register,0.195328,7.101649533093053,1.0765942414809961,faster,stable,stable,stable,current-randomized-full-protocol
ntt16-batch4,ntt,uint64,16,65536,4,natural,GPU-NTT-Merge-natural,0.032881,cuNTT-base-radix2,0.03157,cuNTT-searched-radix4,0.02942,1.0730795377294358,1.1176410605030591,faster,stable-with-outlier,stable,stable,archived-matching-protocol
ntt16-batch64,ntt,uint64,16,65536,64,natural,GPU-NTT-Merge-natural,0.386632,cuNTT-base-radix2,0.301302,cuNTT-searched-radix4,0.274883,1.0961099813375146,1.4065329612962605,faster,stable,stable,stable,archived-matching-protocol
ntt16-batch256,ntt,uint64,16,65536,256,natural,GPU-NTT-Merge-natural,1.52208,cuNTT-base-radix2,1.163162,cuNTT-searched-radix4,1.054403,1.103147468283,1.4435467273898122,faster,stable,stable,stable,archived-matching-protocol
