case_id,group,trial,implementation,reference,runner,device,operator,precision,direction,normalization,placement,output_order,logN,N,batch,modulus,modulus_bits,warmup,repeat,backend,kernel_ms,throughput_s,correct
fwht15_searched_b256,fwht15-batch256,2,cuButterfly-searched-warp-register,0,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,temporal-tile,0.111237,2301390.119071,1
fwht15_base_b512,fwht15-batch512,2,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,hierarchical,1.387315,369058.144071,1
ntt16_base_b4,ntt16-batch4,3,cuNTT-base-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,4,576460756061519873,60,1000,100,hybrid2d,0.031693,126211.634927,1
fwht15_searched_b512,fwht15-batch512,5,cuButterfly-searched-warp-register,0,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,temporal-tile,0.195164,2623432.513326,1
fft8_base_b16384,fft8-batch16384,3,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,8,256,16384,,,1000,100,temporal-tile,0.111985,146305778.608099,1
fft8_baseline_b16384,fft8-batch16384,3,cuFFT,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,8,256,16384,,,1000,100,cufft,0.083804,195503420.478158,1
fft18_base_b16,fft18-batch16,5,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,18,262144,16,,,1000,100,online-reorder,0.510863,31319.529126,1
fft14_searched_b256,fft14-batch256,1,cuButterfly-searched-cuFFTDx-direct,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,14,16384,256,,,1000,100,temporal-tile,0.122358,2092225.360936,1
fft20_base_b4,fft20-batch4,3,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,20,1048576,4,,,1000,100,online-reorder,0.769557,5197.798841,1
fwht15_base_b256,fwht15-batch256,3,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,hierarchical,0.703672,363805.683425,1
fwht15_baseline_b256,fwht15-batch256,1,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.117340,2181691.169252,1
fwht8_searched_b65536,fwht8-batch65536,3,cuButterfly-searched-warp-register,0,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,temporal-tile,0.165161,396800808.020091,1
fwht15_searched_b512,fwht15-batch512,1,cuButterfly-searched-warp-register,0,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,temporal-tile,0.195297,2621644.215908,1
fwht15_baseline_b256,fwht15-batch256,2,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.117002,2187992.312717,1
fft20_base_b4,fft20-batch4,2,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,20,1048576,4,,,1000,100,online-reorder,0.767765,5209.930851,1
fft18_base_b16,fft18-batch16,4,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,18,262144,16,,,1000,100,online-reorder,0.510249,31357.241824,1
fft18_searched_b16,fft18-batch16,2,cuButterfly-searched-auto,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,18,262144,16,,,1000,100,online-reorder,0.196495,81426.861552,1
fwht15_base_b256,fwht15-batch256,1,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,hierarchical,0.704277,363493.598359,1
fwht15_searched_b256,fwht15-batch256,1,cuButterfly-searched-warp-register,0,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,temporal-tile,0.108319,2363395.807981,1
ntt16_base_b256,ntt16-batch256,1,cuNTT-base-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,256,576460756061519873,60,1000,100,hybrid2d,1.162097,220291.493565,1
fwht15_base_b512,fwht15-batch512,5,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,hierarchical,1.387059,369126.274978,1
fft20_baseline_b4,fft20-batch4,2,cuFFT,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,20,1048576,4,,,1000,100,cufft,0.213955,18695.557842,1
ntt16_searched_b256,ntt16-batch256,2,cuNTT-searched-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,256,576460756061519873,60,1000,100,hybrid2d,1.050470,243700.329494,1
