group,operator,precision,logN,N,batch,output_order,library,library_ms,base,base_ms,searched,searched_ms,searched_speedup_vs_base,searched_throughput_vs_library,searched_class_vs_library,library_stability,base_stability,searched_stability,library_evidence_source
fft8-batch16384,fft,fp32,8,256,16384,natural,cuFFT,0.083814,cuButterfly-base-radix2,0.112159,cuButterfly-searched-cuFFTDx,0.084244,1.3313589098333412,0.9948957789278762,parity,stable,stable,stable,current-randomized-full-protocol
fft14-batch256,fft,fp32,14,16384,256,natural,cuFFT,0.124518,cuButterfly-base-radix2,0.722432,cuButterfly-searched-cuFFTDx-direct,0.12247,5.898848697640238,1.0167224626439129,parity,stable-with-outlier,stable,stable,current-randomized-full-protocol
fft18-batch16,fft,fp32,18,262144,16,natural,cuFFT,0.213402,cuButterfly-base-radix2,0.510546,cuButterfly-searched-auto,0.196721,2.5952796091927146,1.0847952175924278,faster,stable,stable,stable,current-randomized-full-protocol
fft20-batch4,fft,fp32,20,1048576,4,natural,cuFFT,0.2142,cuButterfly-base-radix2,0.767498,cuButterfly-searched-auto,0.217283,3.5322505672325955,0.9858111311055168,parity,stable,stable,stable,current-randomized-full-protocol
fwht8-batch65536,fwht,fp32,8,256,65536,natural,Dao-AILab-FHT,0.165376,cuButterfly-base-radix2,0.188211,cuButterfly-searched-warp-register,0.165151,1.1396297933406399,1.0013623895707564,parity,stable,stable,stable,current-randomized-full-protocol
fwht15-batch256,fwht,fp32,15,32768,256,natural,Dao-AILab-FHT,0.117985,cuButterfly-base-radix2,0.703836,cuButterfly-searched-warp-register,0.1331,5.288024042073629,0.8864387678437265,slower,unstable,stable,stable,current-randomized-full-protocol
fwht15-batch512,fwht,fp32,15,32768,512,natural,Dao-AILab-FHT,0.210401,cuButterfly-base-radix2,1.387203,cuButterfly-searched-warp-register,0.242688,5.715993374208861,0.8669608715717301,slower,stable,stable,stable,current-randomized-full-protocol
ntt16-batch4,ntt,uint64,16,65536,4,natural,GPU-NTT-Merge-natural,0.032881,cuNTT-base-radix2,0.031498,cuNTT-searched-radix4,0.029409,1.0710326770716447,1.11805909755517,faster,stable-with-outlier,stable,stable,archived-matching-protocol
ntt16-batch64,ntt,uint64,16,65536,64,natural,GPU-NTT-Merge-natural,0.386632,cuNTT-base-radix2,0.299162,cuNTT-searched-radix4,0.275374,1.0863843354855578,1.404025071357499,faster,stable,stable,stable,archived-matching-protocol
ntt16-batch256,ntt,uint64,16,65536,256,natural,GPU-NTT-Merge-natural,1.52208,cuNTT-base-radix2,1.163397,cuNTT-searched-radix4,1.058652,1.0989418619149636,1.4377529159723876,faster,stable,stable,stable,archived-matching-protocol
