case_id,group,trial,implementation,reference,runner,device,operator,precision,direction,normalization,placement,output_order,logN,N,batch,modulus,modulus_bits,warmup,repeat,backend,kernel_ms,throughput_s,correct
fwht15_searched_b256,fwht15-batch256,2,cuButterfly-searched-warp-register,0,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,temporal-tile,0.136735,1872238.392905,1
fwht15_base_b512,fwht15-batch512,2,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,hierarchical,1.387458,369020.061355,1
ntt16_base_b4,ntt16-batch4,3,cuNTT-base-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,16,65536,4,576460756061519873,60,1000,100,hybrid2d,0.031488,127032.529922,1
fwht15_searched_b512,fwht15-batch512,5,cuButterfly-searched-warp-register,0,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,temporal-tile,0.242842,2108370.217903,1
fft8_base_b16384,fft8-batch16384,3,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,8,256,16384,,,1000,100,temporal-tile,0.111974,146319154.402137,1
fft8_baseline_b16384,fft8-batch16384,3,cuFFT,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,8,256,16384,,,1000,100,cufft,0.083876,195336356.548416,1
fft18_base_b16,fft18-batch16,5,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,18,262144,16,,,1000,100,online-reorder,0.510546,31339.003418,1
fft14_searched_b256,fft14-batch256,1,cuButterfly-searched-cuFFTDx-direct,0,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,14,16384,256,,,1000,100,temporal-tile,0.122327,2092750.632733,1
fft20_base_b4,fft20-batch4,3,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fft,fp32,forward,none,in-place,natural,20,1048576,4,,,1000,100,online-reorder,0.768778,5203.061136,1
fwht15_base_b256,fwht15-batch256,3,cuButterfly-base-radix2,1,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,hierarchical,0.703754,363763.346892,1
fwht15_baseline_b256,fwht15-batch256,1,Dao-AILab-FHT,0,dao-fht,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,dao-fast-hadamard-transform-sm70-local,0.124140,2062195.847083,1
fwht8_searched_b65536,fwht8-batch65536,3,cuButterfly-searched-warp-register,0,butterfly,Tesla V100-SXM2-16GB,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,temporal-tile,0.165151,396825404.272117,1
