group,implementation,reference,runner,operator,precision,direction,normalization,placement,output_order,logN,N,batch,modulus,modulus_bits,warmup,repeat,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,relative_range,central_relative_range,stability_class,timing_quality,correct,throughput_vs_reference
fft14-batch256,cuButterfly-base-radix2,1,butterfly,fft,fp32,forward,none,in-place,natural,14,16384,256,,,1000,100,5,0.722432,0.722299,0.722719,0.000581,0.000141,stable,stable,1,1.000000
fft14-batch256,cuButterfly-searched-cuFFTDx-direct,0,butterfly,fft,fp32,forward,none,in-place,natural,14,16384,256,,,1000,100,5,0.122470,0.122327,0.122839,0.004181,0.002425,stable,stable,1,5.898849
fft14-batch256,cuFFT,0,butterfly,fft,fp32,forward,none,in-place,natural,14,16384,256,,,1000,100,5,0.124518,0.124140,0.128389,0.034124,0.002474,stable-with-outlier,stable-with-outlier,1,5.801828
fft18-batch16,cuButterfly-base-radix2,1,butterfly,fft,fp32,forward,none,in-place,natural,18,262144,16,,,1000,100,5,0.510546,0.510167,0.512860,0.005275,0.003469,stable,stable,1,1.000000
fft18-batch16,cuButterfly-searched-auto,0,butterfly,fft,fp32,forward,none,in-place,natural,18,262144,16,,,1000,100,5,0.196721,0.196250,0.196977,0.003696,0.001611,stable,stable,1,2.595280
fft18-batch16,cuFFT,0,butterfly,fft,fp32,forward,none,in-place,natural,18,262144,16,,,1000,100,5,0.213402,0.212972,0.213494,0.002446,0.000675,stable,stable,1,2.392414
fft20-batch4,cuButterfly-base-radix2,1,butterfly,fft,fp32,forward,none,in-place,natural,20,1048576,4,,,1000,100,5,0.767498,0.766525,0.768963,0.003177,0.001788,stable,stable,1,1.000000
fft20-batch4,cuButterfly-searched-auto,0,butterfly,fft,fp32,forward,none,in-place,natural,20,1048576,4,,,1000,100,5,0.217283,0.215736,0.217477,0.008013,0.001602,stable,stable,1,3.532251
fft20-batch4,cuFFT,0,butterfly,fft,fp32,forward,none,in-place,natural,20,1048576,4,,,1000,100,5,0.214200,0.214036,0.214313,0.001293,0.000574,stable,stable,1,3.583091
fft8-batch16384,cuButterfly-base-radix2,1,butterfly,fft,fp32,forward,none,in-place,natural,8,256,16384,,,1000,100,5,0.112159,0.111974,0.112732,0.006758,0.000909,stable,stable,1,1.000000
fft8-batch16384,cuButterfly-searched-cuFFTDx,0,butterfly,fft,fp32,forward,none,in-place,natural,8,256,16384,,,1000,100,5,0.084244,0.084183,0.084285,0.001211,0.000855,stable,stable,1,1.331359
fft8-batch16384,cuFFT,0,butterfly,fft,fp32,forward,none,in-place,natural,8,256,16384,,,1000,100,5,0.083814,0.083763,0.083876,0.001348,0.000251,stable,stable,1,1.338189
fwht15-batch256,Dao-AILab-FHT,0,dao-fht,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,5,0.117985,0.117391,0.126802,0.079764,0.056244,unstable,unstable,1,5.965470
fwht15-batch256,cuButterfly-base-radix2,1,butterfly,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,5,0.703836,0.703631,0.704266,0.000902,0.000583,stable,stable,1,1.000000
fwht15-batch256,cuButterfly-searched-warp-register,0,butterfly,fwht,fp32,forward,none,out-of-place,natural,15,32768,256,,,1000,100,5,0.133100,0.133069,0.136735,0.027543,0.007160,stable,stable,1,5.288024
fwht15-batch512,Dao-AILab-FHT,0,dao-fht,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,5,0.210401,0.210248,0.210637,0.001849,0.000827,stable,stable,1,6.593139
fwht15-batch512,cuButterfly-base-radix2,1,butterfly,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,5,1.387203,1.387131,1.387684,0.000399,0.000192,stable,stable,1,1.000000
fwht15-batch512,cuButterfly-searched-warp-register,0,butterfly,fwht,fp32,forward,none,out-of-place,natural,15,32768,512,,,1000,100,5,0.242688,0.242555,0.243661,0.004557,0.000676,stable,stable,1,5.715993
fwht8-batch65536,Dao-AILab-FHT,0,dao-fht,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,5,0.165376,0.165304,0.165427,0.000744,0.000121,stable,stable,1,1.138079
fwht8-batch65536,cuButterfly-base-radix2,1,butterfly,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,5,0.188211,0.187955,0.189399,0.007672,0.001525,stable,stable,1,1.000000
fwht8-batch65536,cuButterfly-searched-warp-register,0,butterfly,fwht,fp32,forward,none,out-of-place,natural,8,256,65536,,,1000,100,5,0.165151,0.165079,0.165151,0.000436,0.000309,stable,stable,1,1.139630
ntt16-batch256,cuNTT-base-radix2,1,ntt,ntt,uint64,forward,none,out-of-place,natural,16,65536,256,576460756061519873,60,1000,100,5,1.163397,1.158615,1.163633,0.004313,0.000405,stable,stable,1,1.000000
ntt16-batch256,cuNTT-searched-radix4,0,ntt,ntt,uint64,forward,none,out-of-place,natural,16,65536,256,576460756061519873,60,1000,100,5,1.058652,1.057116,1.061202,0.003860,0.001151,stable,stable,1,1.098942
ntt16-batch4,cuNTT-base-radix2,1,ntt,ntt,uint64,forward,none,out-of-place,natural,16,65536,4,576460756061519873,60,1000,100,5,0.031498,0.031488,0.031529,0.001302,0.000317,stable,stable,1,1.000000
ntt16-batch4,cuNTT-searched-radix4,0,ntt,ntt,uint64,forward,none,out-of-place,natural,16,65536,4,576460756061519873,60,1000,100,5,0.029409,0.029399,0.029430,0.001054,0.001054,stable,stable,1,1.071033
ntt16-batch64,cuNTT-base-radix2,1,ntt,ntt,uint64,forward,none,out-of-place,natural,16,65536,64,576460756061519873,60,1000,100,5,0.299162,0.298813,0.301363,0.008524,0.008149,stable,stable,1,1.000000
ntt16-batch64,cuNTT-searched-radix4,0,ntt,ntt,uint64,forward,none,out-of-place,natural,16,65536,64,576460756061519873,60,1000,100,5,0.275374,0.273684,0.276736,0.011083,0.002865,stable,stable,1,1.086384
