group,precision,logN,batch,v06_ms,v06_search_ms,v07_ms,v07_search_ms,v06_search_speedup,v07_search_speedup,v07_search_vs_v06_search,fastest,stability,correct
ntt10_u64-batch1,uint64,10,1,0.026718,0.011024,0.041708,0.030841,2.423621190130624,1.3523556304918778,0.35744625660646545,v06_search,unstable/stable/unstable/unstable,1
ntt10_u64-batch16,uint64,10,16,0.026931,0.012374,0.043454,0.036325,2.176418296427994,1.1962560220233998,0.3406469373709566,v06_search,stable/unstable/unstable/stable,1
ntt10_u64-batch160,uint64,10,160,0.044626,0.023112,0.045902,0.039707,1.9308584285219799,1.1560178306092124,0.5820636159871055,v06_search,unstable/unstable/unstable/unstable,1
ntt10_u64-batch256,uint64,10,256,0.05648,0.030566,0.062341,0.041882,1.8478047503762352,1.4884914760517645,0.7298123298791843,v06_search,unstable/unstable/unstable/unstable,1
ntt10_u64-batch512,uint64,10,512,0.091507,0.052978,0.119906,0.097669,1.7272641473819323,1.2276771544707121,0.5424239011354677,v06_search,unstable/unstable/unstable/unstable,1
ntt10_u64-batch80,uint64,10,80,0.041165,0.017228,0.042052,0.031224,2.389424193173903,1.3467845247245709,0.5517550602100948,v06_search,unstable/unstable/unstable/unstable,1
ntt12_u32-batch1,uint32,12,1,0.006869,0.005978,0.065548,0.068137,1.1490465038474407,0.9620030233206627,0.08773500447627573,v06_search,unstable/stable/stable/stable,1
ntt12_u32-batch16,uint32,12,16,0.008491,0.007643,0.065925,0.068178,1.1109511971738848,0.9669541494323681,0.11210361113555692,v06_search,stable/stable/stable/stable,1
ntt12_u32-batch160,uint32,12,160,0.030839,0.031238,0.077525,0.076937,0.9872270952045585,1.0076426166863797,0.4060205102876379,v06,stable/unstable/stable/stable,1
ntt12_u32-batch256,uint32,12,256,0.054782,0.043022,0.167471,0.124766,1.2733485193621867,1.3422807495631823,0.344821505858968,v06_search,unstable/stable/stable/stable,1
ntt12_u32-batch512,uint32,12,512,0.085275,0.074883,0.269853,0.224819,1.1387764913264693,1.200312251188734,0.33308127871754617,v06_search,stable/stable/stable/stable,1
ntt12_u32-batch80,uint32,12,80,0.017928,0.016089,0.066142,0.06835,1.114301696811486,0.9676956839795173,0.2353913679590344,v06_search,stable/unstable/stable/stable,1
ntt12_u64-batch1,uint64,12,1,0.007678,0.007776,0.113754,0.096551,0.9873971193415638,1.1781752648859152,0.08053774689024454,v06,unstable/unstable/stable/stable,1
ntt12_u64-batch16,uint64,12,16,0.009497,0.009099,0.113904,0.097059,1.043741070447302,1.1735542299014001,0.09374710227799585,v06_search,stable/stable/stable/stable,1
ntt12_u64-batch160,uint64,12,160,0.04692,0.052124,0.233841,0.136632,0.9001611541708235,1.711465835236255,0.3814918906259148,v06,stable/unstable/stable/unstable,1
ntt12_u64-batch256,uint64,12,256,0.0691,0.068887,0.456339,0.256881,1.0030920202650717,1.776460695808565,0.26816697225563585,v06_search,stable/unstable/stable/stable,1
ntt12_u64-batch512,uint64,12,512,0.126587,0.126212,0.802269,0.512788,1.0029711913288752,1.564523740805167,0.24612900457889028,v06_search,stable/unstable/stable/stable,1
ntt12_u64-batch80,uint64,12,80,0.025407,0.024222,0.114659,0.101284,1.048922467178598,1.132054421231389,0.23914932269657596,v06_search,stable/stable/stable/stable,1
