group,precision,logN,batch,v06_ms,v06_search_ms,v07_ms,v07_search_ms,v06_search_speedup,v07_search_speedup,v07_search_vs_v06_search,fastest,stability,correct
ntt10_u64-batch1,uint64,10,1,0.024799,0.011026,0.041701,0.006109,2.249138400145112,6.826158127353086,1.8048780487804876,v07_search,unstable/stable/stable/stable,1
ntt10_u64-batch16,uint64,10,16,0.026071,0.012337,0.041796,0.006199,2.113236605333549,6.742377802871431,1.9901597031779321,v07_search,stable/unstable/stable/unstable,1
ntt10_u64-batch160,uint64,10,160,0.044626,0.022807,0.045912,0.009112,1.9566799666768973,5.038630377524144,2.502963125548727,v07_search,stable/stable/stable/stable,1
ntt10_u64-batch256,uint64,10,256,0.056478,0.030491,0.062212,0.014803,1.8522842806073923,4.202661622644059,2.059785178679997,v07_search,unstable/stable/stable/unstable,1
ntt10_u64-batch512,uint64,10,512,0.088406,0.052974,0.115397,0.025747,1.6688564201306302,4.4819590631918285,2.057482425136909,v07_search,unstable/stable/stable/unstable,1
ntt10_u64-batch80,uint64,10,80,0.035334,0.017152,0.042039,0.007049,2.060051305970149,5.963824655979572,2.4332529436799546,v07_search,stable/stable/stable/stable,1
ntt12_u32-batch1,uint32,12,1,0.006867,0.005982,0.076644,0.013097,1.1479438314944834,5.852027181797359,0.45674581965335576,v06_search,stable/unstable/unstable/stable,1
ntt12_u32-batch16,uint32,12,16,0.008468,0.007645,0.065939,0.013482,1.1076520601700457,4.890891559115858,0.5670523661177868,v06_search,stable/stable/unstable/stable,1
ntt12_u32-batch160,uint32,12,160,0.030843,0.027054,0.077517,0.023716,1.140053226879574,3.268552875695733,1.1407488615280823,v07_search,unstable/stable/stable/stable,1
ntt12_u32-batch256,uint32,12,256,0.048208,0.042994,0.167541,0.049975,1.1212727357305672,3.352496248124062,0.8603101550775387,v06_search,stable/stable/unstable/stable,1
ntt12_u32-batch512,uint32,12,512,0.085262,0.074904,0.269652,0.086041,1.1382836697639647,3.1339942585511555,0.8705617089527085,v06_search,stable/unstable/unstable/stable,1
ntt12_u32-batch80,uint32,12,80,0.017932,0.016079,0.066132,0.015256,1.115243485291374,4.334819087572102,1.0539459884635554,v07_search,stable/stable/stable/stable,1
ntt12_u64-batch1,uint64,12,1,0.007676,0.007686,0.113795,0.019556,0.9986989331251626,5.818930251585191,0.39302515851912456,v06,stable/stable/unstable/stable,1
ntt12_u64-batch16,uint64,12,16,0.009492,0.009097,0.113902,0.019663,1.0434209079916457,5.792707114885826,0.4626455779891166,v06_search,stable/stable/stable/stable,1
ntt12_u64-batch160,uint64,12,160,0.048859,0.04675,0.233808,0.048869,1.0451122994652406,4.7843827375227646,0.9566391782111359,v06_search,unstable/stable/stable/stable,1
ntt12_u64-batch256,uint64,12,256,0.069085,0.068852,0.456323,0.119271,1.0033840701795154,3.825934217035155,0.5772736038098112,v06_search,stable/stable/stable/stable,1
ntt12_u64-batch512,uint64,12,512,0.126538,0.125776,0.802271,0.170031,1.0060583895178732,4.718380765860343,0.7397239326946263,v06_search,stable/stable/stable/stable,1
ntt12_u64-batch80,uint64,12,80,0.025405,0.024199,0.114526,0.023558,1.0498367701144677,4.861448340266576,1.0272094405297563,v07_search,stable/stable/stable/unstable,1
