group,implementation,reference,runner,operator,precision,direction,normalization,placement,output_order,logN,N,batch,modulus,modulus_bits,warmup,repeat,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,relative_range,central_relative_range,stability_class,timing_quality,correct,throughput_vs_reference
ntt10_u64-batch1,v0.6-fixed-baseline,1,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,1,1152921504606584833,60,30,500,3,0.024799,0.024775,0.028453,0.148312,0.148312,unstable,unstable,1,1.000000
ntt10_u64-batch1,v0.6-search-tile256,0,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,1,1152921504606584833,60,30,500,3,0.011026,0.011006,0.011039,0.002993,0.002993,stable,below-timing-floor,1,2.249138
ntt10_u64-batch1,v0.7-base-hybrid-dataflow-Ur1-Td4,0,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,1,1152921504606584833,60,30,500,3,0.041701,0.041681,0.041724,0.001031,0.001031,stable,stable,1,0.594686
ntt10_u64-batch1,v0.7-search-hybrid-dataflow-static-table,0,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,1,1152921504606584833,60,30,500,3,0.006109,0.006105,0.006109,0.000655,0.000655,stable,below-timing-floor,1,4.059421
ntt10_u64-batch16,v0.6-fixed-baseline,1,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,16,1152921504606584833,60,30,500,3,0.026071,0.026010,0.026102,0.003529,0.003529,stable,stable,1,1.000000
ntt10_u64-batch16,v0.6-search-tile256,0,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,16,1152921504606584833,60,30,500,3,0.012337,0.012333,0.014328,0.161709,0.161709,unstable,below-timing-floor,1,2.113237
ntt10_u64-batch16,v0.7-base-hybrid-dataflow-Ur1-Td4,0,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,16,1152921504606584833,60,30,500,3,0.041796,0.041781,0.041800,0.000455,0.000455,stable,stable,1,0.623768
ntt10_u64-batch16,v0.7-search-hybrid-dataflow-static-table,0,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,16,1152921504606584833,60,30,500,3,0.006199,0.006199,0.007328,0.182126,0.182126,unstable,below-timing-floor,1,4.205678
ntt10_u64-batch160,v0.6-fixed-baseline,1,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,160,1152921504606584833,60,30,500,3,0.044626,0.044601,0.044634,0.000739,0.000739,stable,stable,1,1.000000
ntt10_u64-batch160,v0.6-search-tile256,0,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,160,1152921504606584833,60,30,500,3,0.022807,0.022796,0.022819,0.001008,0.001008,stable,stable,1,1.956680
ntt10_u64-batch160,v0.7-base-hybrid-dataflow-Ur1-Td4,0,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,160,1152921504606584833,60,30,500,3,0.045912,0.045898,0.045922,0.000523,0.000523,stable,stable,1,0.971990
ntt10_u64-batch160,v0.7-search-hybrid-dataflow-static-table,0,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,160,1152921504606584833,60,30,500,3,0.009112,0.009112,0.009126,0.001536,0.001536,stable,below-timing-floor,1,4.897498
ntt10_u64-batch256,v0.6-fixed-baseline,1,ntt,ntt,uint64,forward,none,out-of-place,natural,10,1024,256,1152921504606584833,60,30,500,3,0.056478,0.056474,0.065845,0.165923,0.165923,unstable,unstable,1,1.000000
