case_id,group,trial,implementation,reference,runner,device,operator,precision,direction,normalization,placement,output_order,logN,N,batch,modulus,modulus_bits,warmup,repeat,backend,kernel_ms,throughput_s,correct
ntt12_u64_v06_search_b256,ntt12_u64-batch256,2,v0.6-search-hybrid2d-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,256,1152921504606584833,60,30,500,hybrid2d,0.076741,3335913.122685,1
ntt12_u32_v06_b1,ntt12_u32-batch1,1,v0.6-fixed-hybrid2d-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,1,1073479681,30,30,500,hybrid2d,0.007963,125586.747389,1
ntt12_u64_v06_b1,ntt12_u64-batch1,1,v0.6-fixed-hybrid2d-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,1,1152921504606584833,60,30,500,hybrid2d,0.008997,111149.831010,1
ntt12_u64_v06_search_b160,ntt12_u64-batch160,1,v0.6-search-hybrid2d-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,160,1152921504606584833,60,30,500,hybrid2d,0.052152,3067936.339586,1
ntt12_u32_v06_search_b80,ntt12_u32-batch80,2,v0.6-search-hybrid2d-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,80,1073479681,30,30,500,hybrid2d,0.018788,4257957.554730,1
ntt12_u32_v06_b256,ntt12_u32-batch256,2,v0.6-fixed-hybrid2d-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,256,1073479681,30,30,500,hybrid2d,0.054782,4673071.974969,1
ntt12_u32_v06_search_b160,ntt12_u32-batch160,2,v0.6-search-hybrid2d-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,160,1073479681,30,30,500,hybrid2d,0.031246,5120600.351148,1
ntt12_u64_v06_search_b1,ntt12_u64-batch1,1,v0.6-search-hybrid2d-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,1,1152921504606584833,60,30,500,hybrid2d,0.009048,110520.877566,1
ntt12_u32_v06_search_b160,ntt12_u32-batch160,1,v0.6-search-hybrid2d-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,160,1073479681,30,30,500,hybrid2d,0.031238,5121943.181059,1
ntt12_u64_v06_search_b160,ntt12_u64-batch160,2,v0.6-search-hybrid2d-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,160,1152921504606584833,60,30,500,hybrid2d,0.052124,3069623.812057,1
ntt12_u32_v06_b256,ntt12_u32-batch256,1,v0.6-fixed-hybrid2d-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,256,1073479681,30,30,500,hybrid2d,0.054802,4671325.479392,1
ntt12_u64_v06_search_b512,ntt12_u64-batch512,1,v0.6-search-hybrid2d-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,512,1152921504606584833,60,30,500,hybrid2d,0.140808,3636152.004164,1
ntt12_u64_v07_search_b160,ntt12_u64-batch160,2,v0.7-search-hybrid-dataflow-static-table,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,160,1152921504606584833,60,30,500,hybrid-dataflow,0.141158,1133478.402783,1
ntt12_u64_v07_b80,ntt12_u64-batch80,2,v0.7-base-hybrid-dataflow-Ur1-Td4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,80,1152921504606584833,60,30,500,hybrid-dataflow,0.114659,697719.095211,1
ntt12_u64_v06_b256,ntt12_u64-batch256,1,v0.6-fixed-hybrid2d-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,256,1152921504606584833,60,30,500,hybrid2d,0.069079,3705899.713017,1
ntt12_u64_v06_b256,ntt12_u64-batch256,2,v0.6-fixed-hybrid2d-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,256,1152921504606584833,60,30,500,hybrid2d,0.069100,3704801.654450,1
ntt12_u64_v07_search_b512,ntt12_u64-batch512,1,v0.7-search-hybrid-dataflow-static-table,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,512,1152921504606584833,60,30,500,hybrid-dataflow,0.512668,998697.682725,1
ntt12_u32_v06_b512,ntt12_u32-batch512,2,v0.6-fixed-hybrid2d-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,512,1073479681,30,30,500,hybrid2d,0.085408,5994772.220126,1
ntt12_u32_v07_b80,ntt12_u32-batch80,1,v0.7-base-hybrid-dataflow-Ur1-Td4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,80,1073479681,30,30,500,hybrid-dataflow,0.066263,1207309.627045,1
ntt12_u64_v07_search_b256,ntt12_u64-batch256,1,v0.7-search-hybrid-dataflow-static-table,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,256,1152921504606584833,60,30,500,hybrid-dataflow,0.257315,994890.185641,1
ntt12_u64_v06_b512,ntt12_u64-batch512,1,v0.6-fixed-hybrid2d-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,512,1152921504606584833,60,30,500,hybrid2d,0.127087,4028749.068345,1
ntt12_u64_v07_b80,ntt12_u64-batch80,3,v0.7-base-hybrid-dataflow-Ur1-Td4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,80,1152921504606584833,60,30,500,hybrid-dataflow,0.115055,695322.137509,1
ntt12_u32_v07_search_b16,ntt12_u32-batch16,1,v0.7-search-hybrid-dataflow-static-table,0,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,16,1073479681,30,30,500,hybrid-dataflow,0.068415,233865.157605,1
ntt12_u64_v06_search_b512,ntt12_u64-batch512,3,v0.6-search-hybrid2d-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,512,1152921504606584833,60,30,500,hybrid2d,0.126212,4056663.660116,1
ntt12_u32_v06_b1,ntt12_u32-batch1,3,v0.6-fixed-hybrid2d-radix2,1,ntt,Tesla V100-SXM2-16GB,ntt,uint32,forward,none,out-of-place,natural,12,4096,1,1073479681,30,30,500,hybrid2d,0.006865,145668.629732,1
ntt12_u64_v06_search_b1,ntt12_u64-batch1,3,v0.6-search-hybrid2d-radix4,0,ntt,Tesla V100-SXM2-16GB,ntt,uint64,forward,none,out-of-place,natural,12,4096,1,1152921504606584833,60,30,500,hybrid2d,0.007709,129724.030818,1
